Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
12000,1.6702199,131.13186813186815,1.0423748,-36.36111039055719,-36.36111039055719,0.08655075,-1.1165532,0.038295608,0.034028072,0.4246184,0.0003,1.0
24000,1.4914585,131.03296703296704,2.3593075,-27.494505284906744,-27.494505284906744,0.067031406,-2.372236,0.033526324,0.032568607,0.30235046,0.00029999999,1.0
36000,1.2295502,145.46341463414635,3.1234827,-19.135366201400757,-19.135366201400757,0.10843324,-3.0812006,0.05350625,0.053748384,0.22025765,0.00029999999,1.0
48000,0.9593145,161.73684210526315,3.390396,-11.925333687464397,-11.925333687464397,0.12918124,-3.361449,0.06378408,0.06358125,0.16651888,0.00029999999,1.0
60000,0.7758891,198.0677966101695,3.4914947,-5.990000369151433,-5.990000369151433,0.1253849,-3.4715536,0.06134805,0.06210858,0.13064659,0.0003,1.0
72000,0.64653105,298.3,3.5107856,-0.03750037029385567,-0.03750037029385567,0.09641945,-3.4945295,0.047107544,0.047466878,0.1035976,0.00029999999,1.0
84000,0.5417572,277.47727272727275,3.480897,1.6977268917994066,1.6977268917994066,0.09379511,-3.4742002,0.045815486,0.04584773,0.082094565,0.00029999999,1.0
96000,0.4947119,331.06060606060606,3.4440718,7.405882039490868,7.405882039490868,0.084983096,-3.453069,0.041091345,0.04141988,0.066628926,0.0003,1.0
108000,0.37507057,279.5652173913044,3.4111803,4.268888647026486,4.268888647026486,0.09505432,-3.4355278,0.04649431,0.0461648,0.057497047,0.00029999999,1.0
120000,0.36080787,324.44736842105266,3.3039699,7.881578740320708,7.881578740320708,0.083343394,-3.336801,0.040373363,0.04004165,0.050373543,0.00029999999,1.0
132000,0.34860957,363.6551724137931,3.3011,12.178571136934417,12.178571136934417,0.086893916,-3.3018188,0.04233631,0.0417438,0.04954647,0.00029999999,1.0
144000,0.33107394,431.32142857142856,3.244014,10.582758414334265,10.582758414334265,0.093563475,-3.2915142,0.045649577,0.04504845,0.053205527,0.00029999999,1.0
