Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,1.5996152,0.08539699,3327.3333333333335,0.005045078,0.0168099,0.000298084,0.19936134,0.00496813,-9.38833192611734,-9.38833192611734,1.0
100000,1.4988968,-0.01742979,5018.666666666667,0.007220951,0.016100015,0.00029560336,0.19853446,0.0049268696,-11.89083163626492,-11.89083163626492,1.0
150000,1.3549078,-0.059434723,3418.1428571428573,0.008363069,0.016958289,0.000292519,0.19750632,0.0048755663,-5.035356648000223,-5.035356648000223,1.0
200000,1.2089847,-0.061353747,4949.0,0.0035169641,0.01614783,0.00028943183,0.19647732,0.0048242174,-4.978124607820064,-4.978124607820064,1.0
250000,1.0481106,-0.06641609,4221.5,0.0069651376,0.01869373,0.0002863411,0.19544704,0.004772807,-3.0137497641456625,-3.0137497641456625,1.0
300000,0.95567197,-0.06075011,2622.2,0.005777698,0.01583013,0.000283257,0.19441897,0.004721507,-0.9644998940639198,-0.9644998940639198,1.0
350000,0.95627713,-0.060770396,5684.571428571428,0.0076533603,0.013993029,0.00028079475,0.19359824,0.0046805516,-2.157856897983168,-2.157856897983168,1.0
400000,0.9133522,-0.053965803,2693.5555555555557,0.007638853,0.017809132,0.0002777077,0.19256924,0.0046292045,-0.7819443204336696,-0.7819443204336696,1.0
450000,0.875528,-0.03635455,3318.5,0.008422088,0.020427441,0.00027461527,0.19153845,0.004577767,-0.7087499067808191,-0.7087499067808191,1.0
500000,0.8195647,-0.025038837,4251.125,0.007334487,0.017059432,0.0002715212,0.19050707,0.0045263018,-0.8424998691189103,-0.8424998691189103,1.0
550000,0.7731691,-0.030893771,3107.0,0.008237389,0.017730907,0.00026843153,0.18947719,0.004474911,-0.4181249344837852,-0.4181249344837852,1.0
600000,0.7723056,-0.04182797,3084.5,0.008120486,0.019787608,0.00026534835,0.18844943,0.004423627,-0.4131249049678445,-0.4131249049678445,1.0
