Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
12000,1.6776295,115.71844660194175,1.1072313,-30.254901960784313,-30.254901960784313,0.125668,-1.2081703,0.053189076,0.05498011,0.42282152,0.00029999999,1.0
24000,1.4677975,118.00990099009901,2.486012,-20.455445544554454,-20.455445544554454,0.14940459,-2.460746,0.07368727,0.07445126,0.3009056,0.00029999999,1.0
36000,1.1684171,152.78205128205127,3.273398,-12.205128205128204,-12.205128205128204,0.1746706,-3.251448,0.08711362,0.08624999,0.22106782,0.00029999999,1.0
48000,0.8551936,158.74666666666667,3.715815,-3.1533333333333333,-3.1533333333333333,0.17336948,-3.6893957,0.08690157,0.08502967,0.16997428,0.00029999999,1.0
60000,0.70421654,157.5,3.8532264,1.9210526315789473,1.9210526315789473,0.1656713,-3.8907073,0.083120584,0.080806926,0.1366836,0.00029999999,1.0
72000,0.55271775,179.28358208955223,3.9095259,6.529850746268656,6.529850746268656,0.17217612,-4.015949,0.08601236,0.08434733,0.11065443,0.00029999999,1.0
84000,0.44638625,202.36666666666667,4.0608315,10.341666666666667,10.341666666666667,0.18565367,-4.113611,0.09336325,0.09045167,0.09307764,0.00029999999,1.0
96000,0.4596149,175.37313432835822,3.8953037,7.052238805970149,7.052238805970149,0.18874387,-4.1238456,0.09458984,0.09173589,0.078819394,0.0003,1.0
108000,0.38025674,185.55555555555554,3.7426686,8.890625,8.890625,0.18334661,-4.029262,0.09135905,0.08918351,0.06584883,0.00029999999,1.0
120000,0.31797475,198.91666666666666,3.828536,9.775,9.775,0.20144632,-3.9566278,0.09992816,0.098238066,0.06520663,0.00029999999,1.0
132000,0.32443234,264.531914893617,3.4208605,11.826086956521738,11.826086956521738,0.2659105,-3.8835611,0.13243619,0.12911768,0.082282186,0.00029999999,1.0
144000,0.3110483,287.625,3.684651,16.195121951219512,16.195121951219512,0.25172865,-3.6897717,0.124509834,0.12217129,0.09806303,0.00029999999,1.0
156000,0.38490957,219.03636363636363,3.675321,10.336363636363636,10.336363636363636,0.266538,-3.9306986,0.13130647,0.12957488,0.10460687,0.00029999999,1.0
168000,0.33486557,305.6764705882353,3.825662,12.585714285714285,12.585714285714285,0.26364982,-3.9279323,0.12920956,0.12798613,0.10499513,0.0003,1.0
180000,0.36637396,365.86486486486484,4.0325437,19.069444444444443,19.069444444444443,0.30371866,-4.0790753,0.14922369,0.14629065,0.104353465,0.00029999999,1.0
192000,0.32239437,439.44444444444446,3.785604,21.055555555555557,21.055555555555557,0.2895044,-4.03291,0.14103936,0.14033434,0.113472916,0.00029999999,1.0
204000,0.3672401,409.6875,4.1560626,22.0,22.0,0.28046036,-4.194208,0.13739239,0.13575822,0.12513462,0.00029999996,1.0
216000,0.3493507,316.8857142857143,4.4539638,21.11111111111111,21.11111111111111,0.27162063,-4.4814706,0.1331215,0.13190489,0.13647199,0.00029999999,1.0
228000,0.36648363,378.2068965517241,4.2015824,17.338709677419356,17.338709677419356,0.22930862,-4.4831605,0.11222148,0.10988771,0.13686201,0.00029999999,1.0
240000,0.3542293,458.2307692307692,4.539473,33.72222222222222,33.72222222222222,0.26569125,-4.601418,0.12999412,0.12892497,0.12396811,0.00029999999,1.0
252000,0.32787752,535.9,4.7580476,36.81578947368421,36.81578947368421,0.29320687,-4.876896,0.14345753,0.14288628,0.14197914,0.00029999999,1.0
264000,0.39285603,340.43589743589746,4.6193395,17.17948717948718,17.17948717948718,0.2835155,-4.841529,0.13796009,0.13907975,0.14378598,0.00029999999,1.0
276000,0.37740436,411.61290322580646,5.048447,30.403225806451612,30.403225806451612,0.26093888,-5.0961633,0.1278333,0.1269415,0.12190524,0.0003,1.0
288000,0.3699391,276.6,5.149694,17.195121951219512,17.195121951219512,0.26976398,-5.3341675,0.13238958,0.13160114,0.115391135,0.00029999999,1.0
300000,0.3320521,418.3333333333333,5.0655947,30.71153846153846,30.71153846153846,0.27334404,-5.3568306,0.13386214,0.13383456,0.11098843,0.00029999999,1.0
312000,0.3581668,589.9545454545455,5.1463065,41.130434782608695,41.130434782608695,0.27449444,-5.5168056,0.1344084,0.1346988,0.12853992,0.00029999999,1.0
